module,process,subprocess,model,parameter,path,unit,default,conversion,version,note
oxygen,water_sediment_exchange,diffusion,wet,cThetaDif,abiotic_sediment/parameters/cThetaDif,1/e^degC,1.016,1,1.3.5 (?),temperature coefficient for diffusion
oxygen,water_sediment_exchange,diffusion,wet,cTurbDifO2,abiotic_sediment/parameters/cTurbDifO2,-,5,1,1.3.5 (?),bioturbation factor for oxygen diffusion
oxygen,water_sediment_exchange,diffusion,pclake,kO2Dif,parameters/kO2Dif,m2 d-1,2.60E-05,1,1.3.2,Mol_O2_diffusion_constant
oxygen,water_sediment_exchange,diffusion,pclake,cThetaDif,parameters/cThetaDif,degC,1.02,1,1.3.2,Temperature_coefficient_for_diffusion
oxygen,water_sediment_exchange,diffusion,pclake,cTurbDifO2,parameters/cTurbDifO2,-,5,1,1.3.2,Bioturbation_factor_for_diffusion
nitrogen,initial_conditions,initial_ammonium_water,aed2,amm_initial,aed2_nitrogen/amm_initial,mmol N m-3,?,1,EDDIE-version,initial NH4 concentration
nitrogen,initial_conditions,initial_ammonium_water,selmaprotbas,aa,selmaprotbas/initialization/aa,mmol N m-3,none,1,1.0.0,initial dissolved ammonium in the water column
nitrogen,initial_conditions,initial_ammonium_water,wet,sNH4W,abiotic_water/initialization/sNH4W,g m-3,none,1,1.3.5 (?),initial dissolved ammonium in the water column
nitrogen,initial_conditions,initial_ammonium_water,pclake,sNH4WEpi0,initialstates/sNH4WEpi0,g N m-2,none,1,1.3.2,initial dissolved ammonium in the epilimnion
nitrogen,initial_conditions,initial_ammonium_water,pclake,sNH4WHyp0,initialstates/sNH4WHyp0,g N m-2,none,1,1.3.2,initial dissolved ammonium in the hypolimnion
nitrogen,initial_conditions,initial_nitrate_water,aed2,nit_initial,aed2_nitrogen/nit_initial,mmol N m-3,?,1,EDDIE-version,initial NO3 concentration
nitrogen,initial_conditions,initial_nitrate_water,selmaprotbas,nn,selmaprotbas/initialization/nn,mmol N m-3,none,1,1.0.0,initial dissolved nitrate in the water column
nitrogen,initial_conditions,initial_nitrate_water,wet,sNO3W,abiotic_water/initialization/sNO3W,g m-3,none,1,1.3.5 (?),initial dissolved nitrate in the water column
nitrogen,initial_conditions,initial_nitrate_water,pclake,sNO3WEpi0,initialstates/sNO3WEpi0,g N m-2,none,1,1.3.2,initial dissolved nitrate in the epilimnion
nitrogen,initial_conditions,initial_nitrate_water,pclake,sNO3WHyp0,initialstates/sNO3WHyp0,g N m-2,none,1,1.3.2,initial dissolved nitrate in the hypolimnion
nitrogen,initial_conditions,initial_POM,aed2,ponr_initial,aed2_organic_matter/ponr_initial,mmol N m-3,none,1,EDDIE-version,initial PON conc
nitrogen,initial_conditions,initial_POM,selmaprotbas,dd_n,selmaprotbas/initialization/dd_n,mmol N m-3,none,1,1.0.0,initial detritus-N in the water column
nitrogen,initial_conditions,initial_POM,wet,sNPOMW,abiotic_water/initialization/sNPOMW,g m-3,none,1,1.3.5 (?),particulate organic N
nitrogen,initial_conditions,initial_POM,pclake,sNDetWEpi0,initialstates/sNDetWEpi0,g N m-2,none,1,1.3.2,Detritus_N_in_epilimnion_lake_water
