lId,iReport,sName,sUnit,sEquation,sDescription,sRemark,-1,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,v00-v01,v00-v02,v00-v03
70,0,_sNDetS0_,_gN_*_m_^-2,-,Detritus_N_in_lake_sediment,-,-1,_sNDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetS0_ _ELSE_ _cNDetS0_ _ENDIF_,_sNDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetS0_ _ELSE_ _cNDetS0_ _ENDIF_,_sNDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetS0_ _ELSE_ _cNDetS0_ _ENDIF_,_sNDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetS0_ _ELSE_ _cNDetS0_ _ENDIF_,TRUE,TRUE,TRUE
71,0,_sPDetS0_,_gP_*_m_^-2,-,Detritus_P_in_lake_sediment,-,-1,_sPDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetS0_ _ELSE_ _cPDetS0_ _ENDIF_,_sPDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetS0_ _ELSE_ _cPDetS0_ _ENDIF_,_sPDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetS0_ _ELSE_ _cPDetS0_ _ENDIF_,_sPDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetS0_ _ELSE_ _cPDetS0_ _ENDIF_,TRUE,TRUE,TRUE
72,0,_sSiDetS0_,_gSi_*_m_^-2,-,Detritus_Si_in_lake_sediment,-,-1,_sSiDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetS0_ _ELSE_ _cSiDetS0_ _ENDIF_,_sSiDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetS0_ _ELSE_ _cSiDetS0_ _ENDIF_,_sSiDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetS0_ _ELSE_ _cSiDetS0_ _ENDIF_,_sSiDetS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetS0_ _ELSE_ _cSiDetS0_ _ENDIF_,TRUE,TRUE,TRUE
73,0,_sDHumS0_,_gDW_*_m_^-2,-,Humus_DW_in_lake_sediment,-,-1,_sDHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ (1.0 - _fDDetS0_) * _fDOrgS0_ * _bDTotS0_ _ELSE_ _cDHumS0_ _ENDIF_,_sDHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ (1.0 - _fDDetS0_) * _fDOrgS0_ * _bDTotS0_ _ELSE_ _cDHumS0_ _ENDIF_,_sDHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ (1.0 - _fDDetS0_) * _fDOrgS0_ * _bDTotS0_ _ELSE_ _cDHumS0_ _ENDIF_,_sDHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ (1.0 - _fDDetS0_) * _fDOrgS0_ * _bDTotS0_ _ELSE_ _cDHumS0_ _ENDIF_,TRUE,TRUE,TRUE
74,0,_sNHumS0_,_gN_*_m_^-2,-,Humus_N_in_lake_sediment,-,-1,_sNHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDHum0_ * _sDHumS0_ _ELSE_ _cNHumS0_ _ENDIF_,_sNHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDHum0_ * _sDHumS0_ _ELSE_ _cNHumS0_ _ENDIF_,_sNHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDHum0_ * _sDHumS0_ _ELSE_ _cNHumS0_ _ENDIF_,_sNHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDHum0_ * _sDHumS0_ _ELSE_ _cNHumS0_ _ENDIF_,TRUE,TRUE,TRUE
75,0,_sPHumS0_,_gP_*_m_^-2,-,Humus_P_in_lake_sediment,-,-1,_sPHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDHum0_ * _sDHumS0_ _ELSE_ _cPHumS0_ _ENDIF_,_sPHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDHum0_ * _sDHumS0_ _ELSE_ _cPHumS0_ _ENDIF_,_sPHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDHum0_ * _sDHumS0_ _ELSE_ _cPHumS0_ _ENDIF_,_sPHumS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDHum0_ * _sDHumS0_ _ELSE_ _cPHumS0_ _ENDIF_,TRUE,TRUE,TRUE
76,0,_sDIMS0_,_gDW_*_m_^-2,-,Inorganic_matter_in_lake_sediment,-,-1,_sDIMS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _bDTotS0_ - _sDHumS0_ - _sDDetS0_ _ELSE_ _cDIMS0_ _ENDIF_,_sDIMS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _bDTotS0_ - _sDHumS0_ - _sDDetS0_ _ELSE_ _cDIMS0_ _ENDIF_,_sDIMS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _bDTotS0_ - _sDHumS0_ - _sDDetS0_ _ELSE_ _cDIMS0_ _ENDIF_,_sDIMS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _bDTotS0_ - _sDHumS0_ - _sDDetS0_ _ELSE_ _cDIMS0_ _ENDIF_,TRUE,TRUE,TRUE
77,0,_sDDiatS0_,_gDW_*_m_^-2,-,Diatoms_DW_on_lake_sediment,-,-1,_sDDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDDiatWHyp0_ _ELSE_ _cDDiatS0_ _ENDIF_,_sDDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDDiatWHyp0_ _ELSE_ _cDDiatS0_ _ENDIF_,_sDDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDDiatWHyp0_ _ELSE_ _cDDiatS0_ _ENDIF_,_sDDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDDiatWHyp0_ _ELSE_ _cDDiatS0_ _ENDIF_,TRUE,TRUE,TRUE
78,0,_sNDiatS0_,_gN_*_m_^-2,-,Diatoms_N_on_lake_sediment,-,-1,_sNDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatS0_ _ELSE_ _cNDiatS0_ _ENDIF_,_sNDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatS0_ _ELSE_ _cNDiatS0_ _ENDIF_,_sNDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatS0_ _ELSE_ _cNDiatS0_ _ENDIF_,_sNDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatS0_ _ELSE_ _cNDiatS0_ _ENDIF_,TRUE,TRUE,TRUE
79,0,_sPDiatS0_,_gP_*_m_^-2,-,Diatoms_P_on_lake_sediment,-,-1,_sPDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatS0_ _ELSE_ _cPDiatS0_ _ENDIF_,_sPDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatS0_ _ELSE_ _cPDiatS0_ _ENDIF_,_sPDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatS0_ _ELSE_ _cPDiatS0_ _ENDIF_,_sPDiatS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatS0_ _ELSE_ _cPDiatS0_ _ENDIF_,TRUE,TRUE,TRUE
80,0,_sDGrenS0_,_gDW_*_m_^-2,-,Green_algae_DW_on_lake_sediment,-,-1,_sDGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDGrenWHyp0_ _ELSE_ _cDGrenS0_ _ENDIF_,_sDGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDGrenWHyp0_ _ELSE_ _cDGrenS0_ _ENDIF_,_sDGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDGrenWHyp0_ _ELSE_ _cDGrenS0_ _ENDIF_,_sDGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDGrenWHyp0_ _ELSE_ _cDGrenS0_ _ENDIF_,TRUE,TRUE,TRUE
81,0,_sNGrenS0_,_gN_*_m_^-2,-,Green_algae_N_on_lake_sediment,-,-1,_sNGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenS0_ _ELSE_ _cNGrenS0_ _ENDIF_,_sNGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenS0_ _ELSE_ _cNGrenS0_ _ENDIF_,_sNGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenS0_ _ELSE_ _cNGrenS0_ _ENDIF_,_sNGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenS0_ _ELSE_ _cNGrenS0_ _ENDIF_,TRUE,TRUE,TRUE
82,0,_sPGrenS0_,_gP_*_m_^-2,-,Green_algae_P_on_lake_sediment,-,-1,_sPGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenS0_ _ELSE_ _cPGrenS0_ _ENDIF_,_sPGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenS0_ _ELSE_ _cPGrenS0_ _ENDIF_,_sPGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenS0_ _ELSE_ _cPGrenS0_ _ENDIF_,_sPGrenS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenS0_ _ELSE_ _cPGrenS0_ _ENDIF_,TRUE,TRUE,TRUE
83,0,_sDBlueS0_,_gDW_*_m_^-2,-,Blue-greens_DW_on_lake_sediment,-,-1,_sDBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDBlueWHyp0_ _ELSE_ _cDBlueS0_ _ENDIF_,_sDBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDBlueWHyp0_ _ELSE_ _cDBlueS0_ _ENDIF_,_sDBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDBlueWHyp0_ _ELSE_ _cDBlueS0_ _ENDIF_,_sDBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _fSedPhyt0_ * _sDBlueWHyp0_ _ELSE_ _cDBlueS0_ _ENDIF_,TRUE,TRUE,TRUE
84,0,_sNBlueS0_,_gN_*_m_^-2,-,Blue-greens_N_on_lake_sediment,-,-1,_sNBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueS0_ _ELSE_ _cNBlueS0_ _ENDIF_,_sNBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueS0_ _ELSE_ _cNBlueS0_ _ENDIF_,_sNBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueS0_ _ELSE_ _cNBlueS0_ _ENDIF_,_sNBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueS0_ _ELSE_ _cNBlueS0_ _ENDIF_,TRUE,TRUE,TRUE
85,0,_sPBlueS0_,_gP_*_m_^-2,-,Blue-greens_P_on_lake_sediment,-,-1,_sPBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueS0_ _ELSE_ _cPBlueS0_ _ENDIF_,_sPBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueS0_ _ELSE_ _cPBlueS0_ _ENDIF_,_sPBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueS0_ _ELSE_ _cPBlueS0_ _ENDIF_,_sPBlueS0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueS0_ _ELSE_ _cPBlueS0_ _ENDIF_,TRUE,TRUE,TRUE
86,0,_sDVeg0_,_gDW_*_m_^-2,-,Vegetation_DW_in_lake_water,-,-1,_sDVeg0_ = _cDVeg0_,_sDVeg0_ = _cDVeg0_,_sDVeg0_ = _cDVeg0_,_sDVeg0_ = _cDVeg0_,TRUE,TRUE,TRUE
87,0,_sNVeg0_,_gN_*_m_^-2,-,Vegetation_N_in_lake_water,-,-1,_sNVeg0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDVeg0_ * _sDVeg0_ _ELSE_ _cNVeg0_ _ENDIF_,_sNVeg0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDVeg0_ * _sDVeg0_ _ELSE_ _cNVeg0_ _ENDIF_,_sNVeg0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDVeg0_ * _sDVeg0_ _ELSE_ _cNVeg0_ _ENDIF_,_sNVeg0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDVeg0_ * _sDVeg0_ _ELSE_ _cNVeg0_ _ENDIF_,TRUE,TRUE,TRUE
88,0,_sPVeg0_,_gP_*_m_^-2,-,Vegetation_P_in_lake_water,-,-1,_sPVeg0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDVeg0_ * _sDVeg0_ _ELSE_ _cPVeg0_ _ENDIF_,_sPVeg0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDVeg0_ * _sDVeg0_ _ELSE_ _cPVeg0_ _ENDIF_,_sPVeg0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDVeg0_ * _sDVeg0_ _ELSE_ _cPVeg0_ _ENDIF_,_sPVeg0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDVeg0_ * _sDVeg0_ _ELSE_ _cPVeg0_ _ENDIF_,TRUE,TRUE,TRUE
89,0,_sVegHeight0_,_m_,-,Height_of_the_vegetation,-,-1,"_sVegHeight0_ = _MIN_ (_cVegHeight_, _sDepthW0_ )","_sVegHeight0_ = _MIN_ (_cVegHeight_, _sDepthW0_ )","_sVegHeight0_ = _MIN_ (_cVegHeight_, _sDepthW0_ )","_sVegHeight0_ = _MIN_ (_cVegHeight_, _sDepthW0_ )",TRUE,TRUE,TRUE
90,0,_sDBent0_,_gDW_*_m_^-2,-,Zoobenthos_DW_in_lake_sediment,-,-1,_sDBent0_ = _cDBent0_,_sDBent0_ = _cDBent0_,_sDBent0_ = _cDBent0_,_sDBent0_ = _cDBent0_,TRUE,TRUE,TRUE
91,0,_sNBent0_,_gN_*_m_^-2,-,Zoobenthos_N_in_lake_sediment,-,-1,_sNBent0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBentRef_ * _sDBent0_ _ELSE_ _cNBent0_ _ENDIF_,_sNBent0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBentRef_ * _sDBent0_ _ELSE_ _cNBent0_ _ENDIF_,_sNBent0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBentRef_ * _sDBent0_ _ELSE_ _cNBent0_ _ENDIF_,_sNBent0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBentRef_ * _sDBent0_ _ELSE_ _cNBent0_ _ENDIF_,TRUE,TRUE,TRUE
92,0,_sPBent0_,_gP_*_m_^-2,-,Zoobenthos_P_in_lake_sediment,-,-1,_sPBent0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBentRef_ * _sDBent0_ _ELSE_ _cPBent0_ _ENDIF_,_sPBent0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBentRef_ * _sDBent0_ _ELSE_ _cPBent0_ _ENDIF_,_sPBent0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBentRef_ * _sDBent0_ _ELSE_ _cPBent0_ _ENDIF_,_sPBent0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBentRef_ * _sDBent0_ _ELSE_ _cPBent0_ _ENDIF_,TRUE,TRUE,TRUE
93,0,_sDepthWM0_,_m_,-,Depth_of_marsh_water,-,-1,_sDepthWM0_ = _cDepthWM0_,_sDepthWM0_ = _cDepthWM0_,_sDepthWM0_ = _cDepthWM0_,_sDepthWM0_ = _cDepthWM0_,TRUE,TRUE,TRUE
94,0,_MassWM0_,_m_,-,Conversion_factor_from_concentration_to_mass,-,-1,_MassWM0_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM0_ _ELSE_ 1.0 _ENDIF_,_MassWM0_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM0_ _ELSE_ 1.0 _ENDIF_,_MassWM0_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM0_ _ELSE_ 1.0 _ENDIF_,_MassWM0_ = _IF_ _CalcMass_ _EQ_ _TRUE_ _THEN_ _sDepthWM0_ _ELSE_ 1.0 _ENDIF_,TRUE,TRUE,TRUE
95,0,_sNH4WM0_,_gN_*_m_^-2,-,N_in_NH4_in_marsh_water,-,-1,_sNH4WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNH4WEpi0_ _ELSE_ _cNH4WM0_ * _MassWM0_ _ENDIF_,_sNH4WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNH4WEpi0_ _ELSE_ _cNH4WM0_ * _MassWM0_ _ENDIF_,_sNH4WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNH4WEpi0_ _ELSE_ _cNH4WM0_ * _MassWM0_ _ENDIF_,_sNH4WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNH4WEpi0_ _ELSE_ _cNH4WM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
96,0,_sNO3WM0_,_gN_*_m_^-2,-,N_in_NO3_in_marsh_water,-,-1,_sNO3WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNO3WEpi0_ _ELSE_ _cNO3WM0_ * _MassWM0_ _ENDIF_,_sNO3WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNO3WEpi0_ _ELSE_ _cNO3WM0_ * _MassWM0_ _ENDIF_,_sNO3WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNO3WEpi0_ _ELSE_ _cNO3WM0_ * _MassWM0_ _ENDIF_,_sNO3WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNO3WEpi0_ _ELSE_ _cNO3WM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
97,0,_sPO4WM0_,_gP_*_m_^-2,-,P_in_PO4_in_marsh_water,-,-1,_sPO4WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPO4WEpi0_ _ELSE_ _cPO4WM0_ * _MassWM0_ _ENDIF_,_sPO4WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPO4WEpi0_ _ELSE_ _cPO4WM0_ * _MassWM0_ _ENDIF_,_sPO4WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPO4WEpi0_ _ELSE_ _cPO4WM0_ * _MassWM0_ _ENDIF_,_sPO4WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPO4WEpi0_ _ELSE_ _cPO4WM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
98,0,_sPAIMWM0_,_gP_*_m_^-2,-,P_adsorbed_onto_IM_in_marsh_water,-,-1,_sPAIMWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPAIMWEpi0_ _ELSE_ _cPAIMWM0_ * _MassWM0_ _ENDIF_,_sPAIMWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPAIMWEpi0_ _ELSE_ _cPAIMWM0_ * _MassWM0_ _ENDIF_,_sPAIMWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPAIMWEpi0_ _ELSE_ _cPAIMWM0_ * _MassWM0_ _ENDIF_,_sPAIMWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPAIMWEpi0_ _ELSE_ _cPAIMWM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
99,0,_sSiO2WM0_,_gSi_*_m_^-2,-,Dissolved_Si_in_marsh_water,-,-1,_sSiO2WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sSiO2WEpi0_ _ELSE_ _cSiO2WM0_ * _MassWM0_ _ENDIF_,_sSiO2WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sSiO2WEpi0_ _ELSE_ _cSiO2WM0_ * _MassWM0_ _ENDIF_,_sSiO2WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sSiO2WEpi0_ _ELSE_ _cSiO2WM0_ * _MassWM0_ _ENDIF_,_sSiO2WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sSiO2WEpi0_ _ELSE_ _cSiO2WM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
100,0,_sO2WM0_,_gO2_*_m_^-2,-,Oxygen_in_marsh_water,-,-1,_sO2WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sO2WEpi0_ _ELSE_ _cO2WM0_ * _MassWM0_ _ENDIF_,_sO2WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sO2WEpi0_ _ELSE_ _cO2WM0_ * _MassWM0_ _ENDIF_,_sO2WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sO2WEpi0_ _ELSE_ _cO2WM0_ * _MassWM0_ _ENDIF_,_sO2WM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sO2WEpi0_ _ELSE_ _cO2WM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
101,0,_sDDetWM0_,_gDW_*_m_^-2,-,Detritus_DW_in_marsh_water,-,-1,_sDDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sDDetWEpi0_ _ELSE_ _cDDetWM0_ * _MassWM0_ _ENDIF_,_sDDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sDDetWEpi0_ _ELSE_ _cDDetWM0_ * _MassWM0_ _ENDIF_,_sDDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sDDetWEpi0_ _ELSE_ _cDDetWM0_ * _MassWM0_ _ENDIF_,_sDDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sDDetWEpi0_ _ELSE_ _cDDetWM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
102,0,_sNDetWM0_,_gN_*_m_^-2,-,Detritus_N_in_marsh_water,-,-1,_sNDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNDetWEpi0_ _ELSE_ _cNDetWM0_ * _MassWM0_ _ENDIF_,_sNDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNDetWEpi0_ _ELSE_ _cNDetWM0_ * _MassWM0_ _ENDIF_,_sNDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNDetWEpi0_ _ELSE_ _cNDetWM0_ * _MassWM0_ _ENDIF_,_sNDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sNDetWEpi0_ _ELSE_ _cNDetWM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
103,0,_sPDetWM0_,_gP_*_m_^-2,-,Detritus_P_in_marsh_water,-,-1,_sPDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPDetWEpi0_ _ELSE_ _cPDetWM0_ * _MassWM0_ _ENDIF_,_sPDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPDetWEpi0_ _ELSE_ _cPDetWM0_ * _MassWM0_ _ENDIF_,_sPDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPDetWEpi0_ _ELSE_ _cPDetWM0_ * _MassWM0_ _ENDIF_,_sPDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sPDetWEpi0_ _ELSE_ _cPDetWM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
104,0,_sSiDetWM0_,_gSi_*_m_^-2,-,Detritus_Si_in_marsh_water,-,-1,_sSiDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sSiDetWEpi0_ _ELSE_ _cSiDetWM0_ * _MassWM0_ _ENDIF_,_sSiDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sSiDetWEpi0_ _ELSE_ _cSiDetWM0_ * _MassWM0_ _ENDIF_,_sSiDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sSiDetWEpi0_ _ELSE_ _cSiDetWM0_ * _MassWM0_ _ENDIF_,_sSiDetWM0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _sSiDetWEpi0_ _ELSE_ _cSiDetWM0_ * _MassWM0_ _ENDIF_,TRUE,TRUE,TRUE
