lId,iReport,sName,sUnit,sEquation,sDescription,sRemark,-1,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,v00-v01,v00-v02,v00-v03
20,0,_sPGrenWHyp0_,_gP_*_m_^-2,-,Green_algae_P_in_hypolimnion_lake_water,-,-1,_sPGrenWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenWHyp0_ _ELSE_ _cPGrenWHyp0_ *_MassHyp0_ _ENDIF_,_sPGrenWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenWHyp0_ _ELSE_ _cPGrenWHyp0_ *_MassHyp0_ _ENDIF_,_sPGrenWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenWHyp0_ _ELSE_ _cPGrenWHyp0_ *_MassHyp0_ _ENDIF_,_sPGrenWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDGren0_ * _sDGrenWHyp0_ _ELSE_ _cPGrenWHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
21,0,_sDBlueWHyp0_,_gDW_*_m_^-2,-,Blue-greens_DW_in_hypolimnion_lake_water,-,-1,_sDBlueWHyp0_ = _cDBlueWHyp0_ *_MassHyp0_,_sDBlueWHyp0_ = _cDBlueWHyp0_ *_MassHyp0_,_sDBlueWHyp0_ = _cDBlueWHyp0_ *_MassHyp0_,_sDBlueWHyp0_ = _cDBlueWHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
22,0,_sNBlueWHyp0_,_gN_*_m_^-2,-,Blue-greens_N_in_hypolimnion_lake_water,-,-1,_sNBlueWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueWHyp0_ _ELSE_ _cNBlueWHyp0_*_MassHyp0_ _ENDIF_,_sNBlueWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueWHyp0_ _ELSE_ _cNBlueWHyp0_*_MassHyp0_ _ENDIF_,_sNBlueWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueWHyp0_ _ELSE_ _cNBlueWHyp0_*_MassHyp0_ _ENDIF_,_sNBlueWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDBlue0_ * _sDBlueWHyp0_ _ELSE_ _cNBlueWHyp0_*_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
23,0,_sPBlueWHyp0_,_gP_*_m_^-2,-,Blue-greens_P_in_hypolimnion_lake_water,-,-1,_sPBlueWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueWHyp0_ _ELSE_ _cPBlueWHyp0_ *_MassHyp0_ _ENDIF_,_sPBlueWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueWHyp0_ _ELSE_ _cPBlueWHyp0_ *_MassHyp0_ _ENDIF_,_sPBlueWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueWHyp0_ _ELSE_ _cPBlueWHyp0_ *_MassHyp0_ _ENDIF_,_sPBlueWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDBlue0_ * _sDBlueWHyp0_ _ELSE_ _cPBlueWHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
24,0,_sDZooHyp0_,_gDW_*_m_^-2,-,Zooplankton_DW_in_hypolimnion_lake_water,-,-1,_sDZooHyp0_ = _cDZooHyp0_ *_MassHyp0_,_sDZooHyp0_ = _cDZooHyp0_ *_MassHyp0_,_sDZooHyp0_ = _cDZooHyp0_ *_MassHyp0_,_sDZooHyp0_ = _cDZooHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
25,0,_sNZooHyp0_,_gN_*_m_^-2,-,Zooplankton_N_in_hypolimnion_lake_water,-,-1,_sNZooHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDZooRef_ * _sDZooHyp0_ _ELSE_ _cNZooHyp0_ *_MassHyp0_ _ENDIF_,_sNZooHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDZooRef_ * _sDZooHyp0_ _ELSE_ _cNZooHyp0_ *_MassHyp0_ _ENDIF_,_sNZooHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDZooRef_ * _sDZooHyp0_ _ELSE_ _cNZooHyp0_ *_MassHyp0_ _ENDIF_,_sNZooHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDZooRef_ * _sDZooHyp0_ _ELSE_ _cNZooHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
26,0,_sPZooHyp0_,_gP_*_m_^-2,-,Zooplankton_P_in_hypolimnion_lake_water,-,-1,_sPZooHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDZooRef_ * _sDZooHyp0_ _ELSE_ _cPZooHyp0_ *_MassHyp0_ _ENDIF_,_sPZooHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDZooRef_ * _sDZooHyp0_ _ELSE_ _cPZooHyp0_ *_MassHyp0_ _ENDIF_,_sPZooHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDZooRef_ * _sDZooHyp0_ _ELSE_ _cPZooHyp0_ *_MassHyp0_ _ENDIF_,_sPZooHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDZooRef_ * _sDZooHyp0_ _ELSE_ _cPZooHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
27,0,_sDFiAd0_,_gDW_*_m_^-2,-,Adult_fish_DW_in_lake_water,-,-1,_sDFiAd0_ = _cDFiAd0_,_sDFiAd0_ = _cDFiAd0_,_sDFiAd0_ = _cDFiAd0_,_sDFiAd0_ = _cDFiAd0_,TRUE,TRUE,TRUE
28,0,_sDFiJv0_,_gDW_*_m_^-2,-,Young_fish_DW_in_lake_water,-,-1,_sDFiJv0_ = _cDFiJv0_,_sDFiJv0_ = _cDFiJv0_,_sDFiJv0_ = _cDFiJv0_,_sDFiJv0_ = _cDFiJv0_,TRUE,TRUE,TRUE
29,0,_sNFiAd0_,_gN_*_m_^-2,-,Adult_fish_N_in_lake_water,-,-1,_sNFiAd0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDFishRef_ * _sDFiAd0_ _ELSE_ _cNFiAd0_ _ENDIF_,_sNFiAd0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDFishRef_ * _sDFiAd0_ _ELSE_ _cNFiAd0_ _ENDIF_,_sNFiAd0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDFishRef_ * _sDFiAd0_ _ELSE_ _cNFiAd0_ _ENDIF_,_sNFiAd0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDFishRef_ * _sDFiAd0_ _ELSE_ _cNFiAd0_ _ENDIF_,TRUE,TRUE,TRUE
30,0,_sNFiJv0_,_gN_*_m_^-2,-,Young_fish_N_in_lake_water,-,-1,_sNFiJv0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDFishRef_ * _sDFiJv0_ _ELSE_ _cNFiJv0_ _ENDIF_,_sNFiJv0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDFishRef_ * _sDFiJv0_ _ELSE_ _cNFiJv0_ _ENDIF_,_sNFiJv0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDFishRef_ * _sDFiJv0_ _ELSE_ _cNFiJv0_ _ENDIF_,_sNFiJv0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDFishRef_ * _sDFiJv0_ _ELSE_ _cNFiJv0_ _ENDIF_,TRUE,TRUE,TRUE
